,Unnamed: 0,School,Living_Type,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
238,110705,University of California-Santa Barbara,Off-campus with family in-state(total),28851.0,28355.0,28044.0,27269.0,26534.0,26119.0,25591.0,24393.0,24132.0,22525.0,20315.0,18850.0,17934.0,11950.0,11684.0,11131.0,9680.0,8303.0
239,110705,University of California-Santa Barbara,Off-campus with family out-of-state(total),58605.0,57347.0,56058.0,53951.0,51242.0,48997.0,48469.0,47271.0,47010.0,45404.0,43032.0,39458.0,37554.0,30634.0,29504.0,28087.0,23890.0,20682.0
320,122409,San Diego State University,On-campus in-state(total),30522.0,29319.0,28224.0,26594.0,27451.0,26158.0,25068.0,25516.0,23820.0,22306.0,22002.0,20388.0,18994.0,17744.0,17318.0,15976.0,15374.0,14249.0
321,122409,San Diego State University,Off-campus with family in-district(total),12822.0,12476.0,12306.0,11829.0,11671.0,11457.0,11300.0,12716.0,12515.0,11060.0,10756.0,9350.0,8301.0,7855.0,7667.0,7381.0,6771.0,6120.0
322,122409,San Diego State University,Off-campus with family in-state(total),12822.0,12476.0,12306.0,11829.0,11671.0,11457.0,11300.0,12716.0,12515.0,11060.0,10756.0,9350.0,8301.0,7855.0,7667.0,7381.0,6771.0,6120.0
323,122409,San Diego State University,Off-campus with family out-of-state(total),24702.0,24356.0,24186.0,22989.0,22831.0,22617.0,22460.0,23876.0,23675.0,22220.0,21916.0,19520.0,18471.0,18025.0,17837.0,17551.0,15231.0,14580.0
332,122755,San Jose State University,On-campus in-state(total),30065.0,29193.0,28166.0,27039.0,26227.0,25253.0,23629.0,24079.0,23671.0,21586.0,21336.0,19791.0,18195.0,18854.0,16654.0,15018.0,14700.0,13075.0
333,122755,San Jose State University,Off-campus with family in-district(total),13235.0,12865.0,12684.0,12282.0,12115.0,12007.0,11964.0,13377.0,14974.0,7074.0,6788.0,9688.0,8740.0,8223.0,8188.0,7602.0,6860.0,5293.0
334,122755,San Jose State University,Off-campus with family in-state(total),13235.0,12865.0,12684.0,12282.0,12115.0,12007.0,11964.0,13377.0,14974.0,7074.0,6788.0,9688.0,8740.0,8223.0,8188.0,7602.0,6860.0,5293.0
335,122755,San Jose State University,Off-campus with family out-of-state(total),25115.0,24745.0,24564.0,23442.0,23275.0,23167.0,23124.0,24537.0,26134.0,18234.0,17948.0,19858.0,18910.0,18393.0,18358.0,17772.0,15320.0,13753.0
388,126614,University of Colorado Boulder,On-campus in-state(total),31034.0,31044.0,30178.0,29215.0,31393.0,30025.0,28887.0,27854.0,27236.0,25747.0,24757.0,23261.0,21633.0,19223.0,18186.0,16404.0,15177.0,14274.0
