Total Expenses,Other Expenses,Medical,Competition Guarantees,Recruiting,Game Expenses and Travel,Facilities and Equipment,Coaches Compensation,Support and Admin Compensation w/Severance,Athletic Student Aid,Total Revenues,Other Revenue,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,"NCAA/Conference Distributions, Media Rights, and Post-Season Football",Ticket Sales,Total Academic Spending (University-Wide),Total Football Spending,Total Football Coaching Salaries,Athletics Related Debt,"Annual Debt Service, Leases and Rental Fees on Athletic Facilities"
6784422.0,71933.0,29511.0,71651.0,82213.0,1123494.0,678584.0,1461341.0,358111.0,3118718.0,5741721.0,217917.0,1.0,718144.0,1.0,686487.0,66589311.0,2224163.0,715111.0,1.0,1.0
8111932.0,693157.0,186852.0,57751.0,264786.0,739636.0,783964.0,1863587.0,1178454.0,2243746.0,7634231.0,418636.0,349617.0,845626.0,364981.0,458281.0,164426738.0,1922321.0,527997.0,15795111.0,684197.0
9142341.0,547761.0,214373.0,36511.0,237661.0,812464.0,1334439.0,2132586.0,1343985.0,2412572.0,9111163.0,491316.0,537487.0,1123455.0,441927.0,651723.0,181632955.0,2153228.0,583785.0,15651111.0,684197.0
11513168.0,1355881.0,242362.0,39111.0,236282.0,994757.0,1256972.0,2291211.0,1651479.0,2447225.0,11485631.0,529654.0,639854.0,969311.0,621412.0,995564.0,193915641.0,2199967.0,713465.0,15291111.0,1182713.0
13687188.0,1721219.0,431711.0,246187.0,391177.0,1248116.0,1911776.0,2965514.0,2116642.0,2777856.0,13218247.0,841157.0,863268.0,1136114.0,749191.0,1257217.0,224717282.0,3696415.0,953943.0,35515111.0,2143248.0
15785349.0,3333499.0,387242.0,155526.0,295868.0,1515629.0,1641933.0,3315658.0,2157889.0,2992115.0,15236543.0,733689.0,711857.0,757961.0,721582.0,2465277.0,224731528.0,3574933.0,981956.0,35294461.0,3544465.0
16185311.0,3158199.0,293474.0,214156.0,316944.0,1212154.0,1654513.0,3229116.0,2521174.0,3715781.0,15865714.0,563564.0,721512.0,1663116.0,918518.0,2728336.0,228171142.0,3873151.0,976454.0,51591411.0,1181411.0
15454171.0,1518714.0,295888.0,215143.0,329633.0,1716934.0,1889176.0,3325949.0,2517166.0,3675867.0,17748615.0,1421467.0,463811.0,2885516.0,949589.0,2341611.0,246363598.0,3995833.0,984484.0,49411111.0,3518578.0
17238578.0,1721778.0,331151.0,211767.0,366522.0,1954956.0,2351175.0,3348753.0,2989814.0,3963863.0,18644616.0,1291723.0,743115.0,2216186.0,1127128.0,2374848.0,231258319.0,4131232.0,1148723.0,41461111.0,3261925.0
21395675.0,1717295.0,361772.0,231132.0,515641.0,1965573.0,5114137.0,4171127.0,3217272.0,4223727.0,19775727.0,676611.0,967869.0,3633146.0,1117591.0,2334633.0,235168143.0,5128787.0,1499414.0,73579421.0,3581391.0
19321283.0,1938112.0,418579.0,425153.0,514251.0,2111246.0,2161175.0,4111565.0,3239131.0,4724172.0,19414754.0,646843.0,1116425.0,3521678.0,1197921.0,1951631.0,248899893.0,5121668.0,1279519.0,71499584.0,3581391.0
31648792.0,3833246.0,124621.0,365334.0,373761.0,3545473.0,9448286.0,4417185.0,3447257.0,5113731.0,29695116.0,564478.0,1123563.0,3792321.0,1811555.0,1614339.0,247133512.0,5943876.0,1618865.0,45651614.0,3658816.0
31523281.0,2123792.0,129963.0,215283.0,496723.0,3945972.0,11386112.0,4768157.0,4131672.0,5426717.0,31712155.0,939513.0,1121924.0,3861261.0,2825893.0,1573482.0,254424158.0,7466848.0,1917795.0,44169115.0,3654811.0
35165566.0,1697431.0,466264.0,22296.0,589564.0,4419568.0,11391882.0,5921136.0,4311246.0,6267281.0,35158621.0,896728.0,1133383.0,2918412.0,4471878.0,2488112.0,277121469.0,8515184.0,2423144.0,42312594.0,3168275.0
36853981.0,1917518.0,334825.0,475221.0,513266.0,3911844.0,12516788.0,6218159.0,4451498.0,6534872.0,36941867.0,846867.0,1279413.0,4612783.0,2854289.0,3148113.0,271617618.0,9257326.0,2723117.0,39748161.0,3267468.0
39749118.0,6141171.0,1133663.0,1984857.0,735565.0,4242638.0,5417528.0,7146831.0,6137246.0,7111621.0,41334126.0,2318124.0,3413124.0,8581779.0,8212116.0,7179441.0,783867111.0,11584738.0,2428341.0,35111111.0,1858974.0
